date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-01-01,4.532751091703057,-5.0,1832,386,10,1025.0,7247.0,4267.0,9260.0,30.0,21.07,0.55,2019-01-01,2019,1,1,1,Tue
2019-01-02,7.840909090909091,-2.0,2024,490,16,1026.0,7976.0,5227.0,13231.0,24.0,24.21,0.79,2019-01-02,2019,1,2,2,Wed
2019-01-03,3.159521435692921,-5.0,2006,361,15,1473.0,10366.0,2959.0,7800.0,0.0,18.0,0.75,2019-01-03,2019,1,3,3,Thu
2019-01-04,-2.7745146839223493,-8.0,2009,220,4,1174.0,5256.0,1474.0,5625.0,0.0,10.95,0.2,2019-01-04,2019,1,4,4,Fri
2019-01-05,0.22788517867603983,-8.0,1707,272,12,142.0,3475.0,6163.0,6623.0,0.0,15.93,0.7,2019-01-05,2019,1,5,5,Sat
2019-01-06,3.3384932920536636,-6.0,1938,377,30,583.0,6525.0,8025.0,8650.0,67.0,19.45,1.55,2019-01-06,2019,1,6,6,Sun
2019-01-07,-0.6449203187250996,-9.0,2008,307,12,288.0,6648.0,3134.0,7451.0,41.0,15.29,0.6,2019-01-07,2019,1,7,0,Mon
2019-01-08,-5.166400850611377,-11.0,1881,205,18,189.0,4643.0,3301.0,2580.0,16.0,10.9,0.96,2019-01-08,2019,1,8,1,Tue
2019-01-09,-5.347673836918459,-10.0,1999,197,22,592.0,2555.0,3202.0,3616.0,35.0,9.85,1.1,2019-01-09,2019,1,9,2,Wed
2019-01-10,0.13092205807437596,-9.0,1963,275,18,322.0,3730.0,7175.0,8171.0,32.0,14.01,0.92,2019-01-10,2019,1,10,3,Thu
2019-01-11,-0.6820837390457644,-9.0,2054,334,19,330.0,5672.0,6642.0,5122.0,35.0,16.26,0.93,2019-01-11,2019,1,11,4,Fri
2019-01-12,-1.4268134715025906,-9.0,1544,246,30,1837.0,4584.0,4128.0,2684.0,0.0,15.93,1.94,2019-01-12,2019,1,12,5,Sat
2019-01-13,1.790979097909791,-9.0,1818,343,65,2017.0,7222.0,5320.0,7143.0,24.0,18.87,3.58,2019-01-13,2019,1,13,6,Sun
2019-01-14,-0.18399592252803262,-8.0,1962,316,18,903.0,5611.0,5132.0,5884.0,5.0,16.11,0.92,2019-01-14,2019,1,14,0,Mon
2019-01-15,0.10032188841201717,-7.0,1864,317,33,400.0,4433.0,5347.0,6044.0,16.0,17.01,1.77,2019-01-15,2019,1,15,1,Tue
2019-01-16,-0.4964731416169289,-8.0,1843,276,31,64.0,4375.0,7336.0,4224.0,0.0,14.98,1.68,2019-01-16,2019,1,16,2,Wed
2019-01-17,6.105552776388194,-4.0,1999,433,20,1040.0,7221.0,5963.0,11308.0,0.0,21.66,1.0,2019-01-17,2019,1,17,3,Thu
2019-01-18,5.446531038080334,-4.0,1917,421,41,701.0,7443.0,7026.0,7224.0,0.0,21.96,2.14,2019-01-18,2019,1,18,4,Fri
2019-01-19,13.37797619047619,-6.0,1344,431,154,5872.0,7257.0,7506.0,7678.0,0.0,32.07,11.46,2019-01-19,2019,1,19,5,Sat
2019-01-20,5.264609323703217,-6.0,1523,439,136,1043.0,7159.0,4715.0,6843.0,2.0,28.82,8.93,2019-01-20,2019,1,20,6,Sun
2019-01-21,15.875259875259875,-2.0,1924,594,60,2357.0,9931.0,13466.0,17272.0,26.0,30.87,3.12,2019-01-21,2019,1,21,0,Mon
2019-01-22,16.15097588978186,-5.0,1742,499,89,2951.0,9535.0,12529.0,15518.0,56.0,28.65,5.11,2019-01-22,2019,1,22,1,Tue
2019-01-23,13.892972972972974,-3.0,1850,554,68,2653.0,8765.0,9932.0,15649.0,43.0,29.95,3.68,2019-01-23,2019,1,23,2,Wed
2019-01-24,17.942942942942942,-1.0,1998,652,42,1261.0,11454.0,12911.0,21480.0,0.0,32.63,2.1,2019-01-24,2019,1,24,3,Thu
2019-01-25,8.845391476709613,-5.0,2018,463,15,1141.0,10154.0,7939.0,13074.0,94.0,22.94,0.74,2019-01-25,2019,1,25,4,Fri
2019-01-26,-2.3011823273179837,-10.0,1607,188,6,604.0,6676.0,2203.0,3746.0,0.0,11.7,0.37,2019-01-26,2019,1,26,5,Sat
2019-01-27,5.524236037934668,-4.0,1898,414,20,1182.0,8185.0,6866.0,6932.0,24.0,21.81,1.05,2019-01-27,2019,1,27,6,Sun
2019-01-28,5.146596858638744,-9.0,1910,473,150,2456.0,5939.0,10906.0,8750.0,0.0,24.76,7.85,2019-01-28,2019,1,28,0,Mon
2019-01-29,-0.8871766648321409,-9.0,1817,346,107,1473.0,6152.0,3718.0,5172.0,0.0,19.04,5.89,2019-01-29,2019,1,29,1,Tue
2019-01-30,7.372638809387522,-7.0,1747,580,240,4228.0,7048.0,7971.0,8537.0,6.0,33.2,13.74,2019-01-30,2019,1,30,2,Wed
2019-01-31,6.540075309306078,-6.0,1859,538,165,1195.0,11307.0,3946.0,9485.0,20.0,28.94,8.88,2019-01-31,2019,1,31,3,Thu
2019-02-01,10.656173143138219,-4.0,2033,531,51,2337.0,10086.0,8486.0,15875.0,21.0,26.12,2.51,2019-02-01,2019,2,1,4,Fri
2019-02-02,1.1396957123098201,-10.0,1446,261,32,1374.0,6020.0,3126.0,4895.0,1253.0,18.05,2.21,2019-02-02,2019,2,2,5,Sat
2019-02-03,-3.768141592920354,-11.0,1695,228,36,1849.0,3562.0,2553.0,4782.0,47.0,13.45,2.12,2019-02-03,2019,2,3,6,Sun
2019-02-04,2.7238955823293174,-8.0,1992,331,18,2669.0,7103.0,5744.0,9411.0,0.0,16.62,0.9,2019-02-04,2019,2,4,0,Mon
2019-02-05,-1.259493670886076,-11.0,1896,293,47,3447.0,4654.0,3756.0,7390.0,77.0,15.45,2.48,2019-02-05,2019,2,5,1,Tue
2019-02-06,1.0489216201998948,-7.0,1901,373,35,1105.0,5639.0,4678.0,6615.0,5.0,19.62,1.84,2019-02-06,2019,2,6,2,Wed
2019-02-07,13.84194214876033,-3.0,1936,534,68,5125.0,8763.0,10004.0,15306.0,1.0,27.58,3.51,2019-02-07,2019,2,7,3,Thu
2019-02-08,9.205077152812345,-5.0,2009,467,28,1594.0,10608.0,8747.0,11534.0,25.0,23.25,1.39,2019-02-08,2019,2,8,4,Fri
2019-02-09,-1.1179094964945826,-9.0,1569,212,19,460.0,4681.0,3614.0,4626.0,21.0,13.51,1.21,2019-02-09,2019,2,9,5,Sat
2019-02-10,10.170398689240852,-4.0,1831,502,44,2971.0,10021.0,7786.0,10449.0,33.0,27.42,2.4,2019-02-10,2019,2,10,6,Sun
2019-02-11,11.330757341576508,-2.0,1941,553,80,3243.0,10287.0,8006.0,11255.0,22.0,28.49,4.12,2019-02-11,2019,2,11,0,Mon
